method,n,objective_accuracy,structure_completeness,constraint_coverage,objective_term_coverage,average_runtime_sec
Best-of-K,100,0.76,0.7552257936507933,0.8875,0.9466666666666665,0.10534032450756058
ReplenishVerifier-ConsensusSafe,100,0.72,0.7547972222222219,0.8875,0.9466666666666665,0.104100436787121
ReplenishVerifier-Full,100,0.74,0.7552257936507933,0.8875,0.9466666666666665,0.11176597978861537
ReplenishVerifier-HybridSafe,100,0.72,0.7547972222222219,0.8875,0.9466666666666665,0.104100436787121
ReplenishVerifier-TypeAware-Consensus,100,0.72,0.7547972222222219,0.8875,0.9466666666666665,0.104100436787121
