method,n,code_validity_rate,executable_rate,optimal_rate,objective_accuracy,objective_accuracy_count,objective_accuracy_total,structure_completeness,structure_complete_count,structure_complete_total,constraint_coverage,objective_term_coverage
Best-of-K,100,1.0,0.91,0.85,0.75,75,100,0.7552257936507933,0,100,0.8875,0.9466666666666665
Consensus only,100,1.0,0.91,0.85,0.73,73,100,0.7508801587301582,0,100,0.8875,0.9466666666666665
Direct,100,1.0,0.89,0.81,0.69,69,100,0.7353994047619041,0,100,0.86875,0.9466666666666665
ReplenishVerifier-Full,100,1.0,0.91,0.85,0.74,74,100,0.7552257936507933,0,100,0.8875,0.9466666666666665
ReplenishVerifier-TypeAware,100,0.99,0.89,0.85,0.72,72,100,0.740297222222222,0,100,0.87,0.9466666666666665
ReplenishVerifier-TypeAware-Consensus,100,0.99,0.89,0.85,0.72,72,100,0.740297222222222,0,100,0.87,0.9466666666666665
Solver only,100,1.0,0.91,0.85,0.74,74,100,0.7508801587301582,0,100,0.8875,0.9466666666666665
Structure only,100,1.0,0.91,0.85,0.74,74,100,0.7552257936507933,0,100,0.8875,0.9466666666666665
