method,n,executable_rate,optimal_rate,objective_accuracy,structure_completeness,inventory_balance_accuracy,constraint_coverage,average_runtime_sec,average_repair_feedback_count,group,difficulty
Structure + Consensus,20,0.95,0.8,0.55,0.7518125,1.0,0.9476744186046512,0.0924350715984474,0.45,hard,hard
Structure + Consensus,20,1.0,1.0,0.8,0.8404365079365078,0.95,0.98125,0.09768928905250504,0.15,medium,medium
Structure only,10,0.8,0.8,0.7,0.6416666666666666,0.0,0.9305555555555556,0.17427365129988176,0.5,easy,easy
Structure only,20,0.95,0.8,0.55,0.7518125,1.0,0.9476744186046512,0.0924350715984474,0.45,hard,hard
Structure only,20,1.0,1.0,0.75,0.8412698412698413,0.95,0.98125,0.09630884680373128,0.15,medium,medium
Structure-Grounded Consistency,10,0.8,0.8,0.7,0.6416666666666666,0.0,0.9305555555555556,0.17427365129988176,0.5,easy,easy
Structure-Grounded Consistency,20,0.95,0.8,0.55,0.7518125,1.0,0.9476744186046512,0.0924350715984474,0.45,hard,hard
Structure-Grounded Consistency,20,1.0,1.0,0.8,0.8404365079365078,0.95,0.98125,0.09768928905250504,0.15,medium,medium
Structure-Only,10,0.8,0.8,0.7,0.6416666666666666,0.0,0.9305555555555556,0.17427365129988176,0.5,easy,easy
Structure-Only,20,0.95,0.8,0.55,0.7518125,1.0,0.9476744186046512,0.0924350715984474,0.45,hard,hard
Structure-Only,20,1.0,1.0,0.75,0.8412698412698413,0.95,0.98125,0.09630884680373128,0.15,medium,medium
